final_priority_model_name,split_strategy,selected_threshold_from_validation,normal_priority_threshold,high_priority_threshold,outer_test_accuracy,outer_test_high_precision,outer_test_high_recall,outer_test_high_f1,outer_test_high_false_negative_rate,outer_test_roc_auc,business_reason,business_threshold_note,component,model_name,dataset,target,input_text,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,number_of_classes,recommended_use,number_of_routing_groups,precision,recall,f1,roc_auc
Final Priority Model - Priority SGD Logistic,outer_train_test_plus_inner_validation_holdout,0.2,0.2,0.55,0.5490985471731139,0.4628099173553719,0.9525514771709938,0.6229508196721312,0.047448522829006266,0.7996465813682453,High recall is prioritized because missing urgent tickets is more costly than sending extra tickets to human review.,"Model threshold was selected for high recall, but final product labels use stricter High threshold to reduce false escalations. Tickets between Normal and High thresholds are sent to Needs Review.",High Priority Detection,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Baseline Original Queue Routing,Baseline Original Queue Routing Logistic Regression,multilingual_ticket_dataset,original_queue_label,ticket_text_with_tags_plus_type_priority_if_available,0.5511990197794504,0.5295352765294471,0.5809749636022942,0.5495921908623103,0.5524853540434727,10.0,Baseline only; improved grouped routing model should be used for final demo.,,,,,
,outer_train_test_plus_inner_validation_holdout,,,,,,,,,,,,Improved Grouped Queue Routing,Final Grouped Routing Model - Grouped Routing SGD Logistic,multilingual_ticket_dataset,routing_group,,0.8061132211973232,0.7857088042845833,0.6730268602611252,0.7161896015279763,0.8009921821358806,,Final routing model for TriageIQ demo,4.0,,,,
,,,,,,,,,,,,,Optional SLA ML Models,Optional SLA Logistic Regression,,,,0.49595,,,,,,,,0.49612009940660345,0.4888800039982008,0.4924734430851332,0.49236575470406535
,,,,,,,,,,,,,Optional SLA ML Models,Optional SLA XGBoost,,,,0.4953,,,,,,,,0.4955474851997413,0.4978259783097606,0.4966841186736475,0.49593672667718713
