original_queue,routing_group
Technical Support,Technical / Product Support
IT Support,Technical / Product Support
Product Support,Technical / Product Support
Service Outages And Maintenance,Technical / Product Support
Billing And Payments,Billing
Customer Service,Customer Service
Returns And Exchanges,Customer Service
General Inquiry,Customer Service
Sales And Pre-Sales,Business Support
Human Resources,Business Support
